IMPL,PARAMS,MEAN,SSD,SEM,RSE,CI95LO,CI95UP
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.0!N!data_size: 100!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,13771.088213,310.4507010141548,179.2387958006303,0.013015586933168264,13419.780173230765,14122.396252769237
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.0!N!data_size: 100!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,14054.986151333333,277.19008176527325,160.0357683238749,0.011386405265770613,13741.316045418538,14368.656257248127
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.0!N!data_size: 100!N!compression_rate: 0.8!N!preprocessing_time: 10!N!,15830.990542,337.1792820750318,194.67054927118437,0.012296801564925373,15449.436265428478,16212.544818571521
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.2!N!preprocessing_time: 2!N!,13847.420541,155.75721502258594,89.92647002151642,0.006494095398869307,13671.164659757827,14023.676422242172
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.2!N!preprocessing_time: 5!N!,13729.601959,203.83270953616784,117.6828697203573,0.008571469884690581,13498.9435343481,13960.2603836519
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.2!N!preprocessing_time: 10!N!,14169.926033000002,162.68111156825046,93.92398355599695,0.006628403234939945,13985.835025230248,14354.017040769755
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.5!N!preprocessing_time: 2!N!,13879.173695,287.9088330221448,166.22424224740632,0.011976522947276677,13553.374180195084,14204.973209804915
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.5!N!preprocessing_time: 5!N!,13702.403911,240.1119764529392,138.62871424075752,0.010117109022707273,13430.691631088115,13974.116190911884
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.5!N!preprocessing_time: 10!N!,14351.435870666666,309.23332728103884,178.53594474811143,0.012440284467495441,14001.505418960367,14701.366322372965
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,13707.37823,221.66410773355523,127.97783226964633,0.009336419417504198,13456.541678751493,13958.214781248507
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,13654.405046333333,265.5361384322904,153.3073610034566,0.011227685167038808,13353.922618766559,13954.887473900108
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 10!N!compression_rate: 0.8!N!preprocessing_time: 10!N!,14107.950922666665,299.25977814713104,172.7777134708738,0.012246832613606484,13769.306604263753,14446.595241069577
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.2!N!preprocessing_time: 2!N!,13830.732229666666,393.7593865453423,227.33708781789528,0.01643709704177928,13385.151537543592,14276.31292178974
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.2!N!preprocessing_time: 5!N!,13980.125883666666,341.6595760825165,197.25724822245434,0.014109833478174539,13593.501677150654,14366.750090182677
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.2!N!preprocessing_time: 10!N!,15660.641209333333,376.14154956833505,217.16542489668123,0.013866956147827224,15234.996976535838,16086.285442130828
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.5!N!preprocessing_time: 2!N!,13982.058443,317.8679580042295,183.52115112049856,0.013125474469202843,13622.356986803823,14341.759899196177
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.5!N!preprocessing_time: 5!N!,13845.334261666665,388.81117869065713,224.4802386809866,0.016213421390807524,13405.352993851931,14285.315529481399
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.5!N!preprocessing_time: 10!N!,15553.728679,255.67368734755166,147.61327221481318,0.00949053923089931,15264.406665458966,15843.050692541034
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.8!N!preprocessing_time: 2!N!,13907.818372333333,224.63220540760355,129.69146426073922,0.00932507606791393,13653.623102382284,14162.013642284383
KOMPACTMIX,algorithm: ""paxos""!N!number_of_nodes: 3!N!number_of_proposals: 1000000!N!concurrent_proposals: 10000!N!reconfiguration: ""off""!N!reconfig_policy: ""none""!N!network_scenario: ""fully_connected""!N!probability: 0.5!N!data_size: 100!N!compression_rate: 0.8!N!preprocessing_time: 5!N!,13879.533969333332,279.2884055742825,161.24723613985338,0.011617626103018103,13563.48938649922,14195.578552167444
